idx,series,timepoint_hr,src,repair,dx,dy,ecc,q0x,q0y,q1x,q1y,q2x,q2y,q3x,q3y
69,COOH_control,1.5,dots,kept,0.0,0.0,off,86.61363983154297,348.6590881347656,386.7677307128906,363.2257995605469,380.29278564453125,666.6470336914062,80.13868713378906,652.080322265625
83,COOH_control,2.0,colour,kept,0.0,0.0,off,71.0,343.0,375.0,358.0,369.0,630.0,68.0,634.0
97,COOH_control,2.5,dots,kept,0.0,0.0,off,76.34615325927734,344.26922607421875,373.1919250488281,359.757568359375,364.9349060058594,658.43408203125,68.08914947509766,642.9457397460938
111,COOH_control,3.0,dots,kept,0.0,0.0,off,72.2750015258789,337.25,390.3500061035156,335.75,386.23602294921875,636.3178100585938,68.16101837158203,637.8178100585938
125,COOH_control,3.5,dots,kept,0.0,0.0,off,87.61111450195312,340.27777099609375,404.23077392578125,343.6730651855469,396.2008972167969,645.1515502929688,79.58125305175781,641.7562255859375
139,COOH_control,4.0,dots,kept,0.0,0.0,off,75.58415985107422,359.8280334472656,401.4583435058594,347.5,399.0857238769531,639.6142578125,73.21154022216797,651.9423217773438
153,COOH_control,4.5,dots,kept,0.0,0.0,off,90.0,344.0,413.3043518066406,341.13043212890625,412.70562744140625,647.0985717773438,89.40127563476562,649.9681396484375
166,COOH_control,5.0,dots,kept,0.0,0.0,off,91.13157653808594,339.9473571777344,414.19232177734375,344.9230651855469,404.9158020019531,650.3416748046875,81.85507202148438,645.365966796875
181,COOH_control,5.5,colour,repaired,0.0,0.0,off,54.60255432128906,332.2080078125,366.8089599609375,337.2767333984375,360.3974609375,636.7920532226562,49.19105529785156,631.7232666015625
194,COOH_control,6.0,dots,kept,0.0,0.0,off,83.80000305175781,341.1666564941406,404.8333435058594,343.9444580078125,399.2383117675781,645.4609985351562,78.20497131347656,642.6832275390625
0,PEG_L1,0.0,dots,kept,0.0,0.0,off,431.7824401855469,193.03765869140625,670.126953125,186.03904724121094,685.4241333007812,443.3398742675781,447.07965087890625,450.3385009765625
8,PEG_L1,0.0,dots,repaired,0.0,0.0,ref,424.28228759765625,185.40428161621094,662.9326171875,183.7383575439453,679.6210327148438,442.74737548828125,442.07928466796875,447.6095886230469
28,PEG_L1,0.5,dots,repaired,0.0,0.0,off,440.36688232421875,187.21253967285156,679.0172119140625,185.54661560058594,695.7056274414062,444.55560302734375,458.16387939453125,449.4178466796875
42,PEG_L1,1.0,dots,kept,0.0,0.0,off,435.93939208984375,178.4112548828125,674.271728515625,169.7568817138672,691.9268798828125,432.7397766113281,453.5946044921875,441.3941345214844
56,PEG_L1,1.5,dots,repaired,0.0,0.0,off,434.03204345703125,179.2022247314453,672.682373046875,177.5363006591797,689.3707885742188,436.5452880859375,451.82904052734375,441.40753173828125
70,PEG_L1,2.0,dots,kept,0.0,0.0,off,440.0830383300781,202.2456817626953,679.9672241210938,189.89869689941406,701.264892578125,456.12432861328125,461.38067626953125,468.4713134765625
84,PEG_L1,2.5,dots,kept,0.0,0.0,off,441.6714172363281,194.67713928222656,678.7429809570312,190.23570251464844,695.521728515625,458.0260925292969,458.4502258300781,462.467529296875
98,PEG_L1,3.0,dots,kept,0.0,0.0,off,436.3455810546875,195.84925842285156,672.4627685546875,196.8041229248047,692.4353637695312,456.86395263671875,456.31817626953125,455.9090881347656
112,PEG_L1,3.5,dots,kept,0.0,0.0,off,456.4671630859375,199.29562377929688,693.0585327148438,202.16397094726562,708.7913818359375,464.568359375,472.20001220703125,461.70001220703125
126,PEG_L1,4.0,dots,kept,0.0,0.0,off,443.2518005371094,183.92086791992188,680.1087646484375,182.3347930908203,700.0569458007812,444.6139221191406,463.20001220703125,446.20001220703125
140,PEG_L1,4.5,dots,kept,0.0,0.0,off,444.6303405761719,189.27236938476562,693.8453369140625,180.16256713867188,705.3162231445312,449.6581115722656,456.10125732421875,458.7679443359375
154,PEG_L1,5.0,dots,kept,0.0,0.0,off,455.5601806640625,193.58091735839844,691.5936279296875,188.6248016357422,705.69189453125,447.54595947265625,469.658447265625,452.5020446777344
168,PEG_L1,5.5,dots,kept,0.0,0.0,off,436.31512451171875,225.260498046875,674.044189453125,213.0308837890625,690.9251708984375,472.7279052734375,453.1960754394531,484.95751953125
