idx,front_px,centroid_px,mass,n_px
382,208.0,214.17368299198765,8097.08740234375,436
383,183.0,191.89876148243928,9569.015625,436
384,127.0,121.97456347027206,4510.08251953125,436
385,9.0,158.10720399559068,10139.96484375,436
386,377.0,160.4835842840587,14548.7314453125,436
387,19.0,153.8703338798413,12572.072265625,436
388,24.0,134.24691573653794,16097.29296875,436
389,376.0,177.19244026618327,20100.671875,436
390,132.0,171.51433756921318,5413.36865234375,436
391,13.0,145.26447439493066,7612.7939453125,436
392,382.0,215.98044999967263,11018.484375,436
393,150.0,190.9337551233379,3980.69384765625,436
394,221.0,217.67983771122945,8514.748046875,436
395,208.0,195.46623271958603,10366.173828125,436
396,126.0,133.15644161578697,4585.421875,436
397,254.0,146.15924536743975,9493.9033203125,436
398,170.0,132.1784140091314,10273.0009765625,436
399,259.0,157.84530891639457,12706.767578125,436
400,18.0,171.36067819462806,16094.599609375,436
401,20.0,165.74416528886348,19276.515625,436
402,149.0,168.14911980094658,5848.43212890625,436
403,151.0,182.83470625131173,5071.748046875,436
404,190.0,150.19718576314733,6191.359375,436
405,180.0,129.5615447881214,4724.9501953125,436
406,228.0,213.37797058647917,8668.486328125,436
407,215.0,185.23697165325606,10694.2431640625,436
408,129.0,135.04780418371942,5096.42138671875,436
409,5.0,185.78474913554757,13195.404296875,436
410,5.0,178.0540283999368,17662.73828125,436
411,124.0,119.64019928633753,6796.3232421875,436
412,379.0,185.81932069443405,14708.65625,436
413,20.0,165.50356209482405,20330.041015625,436
414,162.0,110.9028420834164,5694.17724609375,436
415,140.0,159.46706514225318,4926.10693359375,436
416,342.0,214.45143799173584,13103.169921875,436
417,162.0,173.83202559570887,4545.8271484375,436
418,382.0,216.69395871743833,9964.2314453125,436
419,184.0,126.35312671322187,7618.609375,436
420,122.0,140.22294922103995,4601.91064453125,436
421,226.0,149.25960497177977,9548.828125,436
422,289.0,128.77454530875673,14612.814453125,436
423,12.0,190.49958774774146,19106.27734375,436
424,17.0,179.01103516466344,15733.16796875,436
425,376.0,177.3832624908517,13767.810546875,436
426,153.0,160.30185504303583,6102.34912109375,436
427,151.0,163.75787396335733,4939.78173828125,436
428,281.0,220.77314176035551,13355.390625,436
429,162.0,190.39371425311666,4517.25146484375,436
430,382.0,209.18418502328282,10848.6298828125,436
431,189.0,126.92645273282537,7980.0224609375,436
432,137.0,167.35738815930216,9983.404296875,436
433,22.0,136.8092045960093,15821.220703125,436
434,159.0,135.6796174118729,10476.51953125,436
435,373.0,161.07141918780647,13737.65625,436
436,298.0,148.37886180256766,12887.5126953125,436
437,22.0,165.54719646882066,20386.568359375,436
438,388.0,211.06931665853293,12211.939453125,436
439,151.0,208.03673896900762,5913.76904296875,436
440,380.0,223.184036925842,12009.1787109375,436
441,376.0,229.79909218447398,8005.75537109375,436
442,187.0,210.35597535204673,6805.4873046875,436
443,374.0,207.60463262941175,10920.943359375,436
444,369.0,167.66947610627315,14042.87890625,436
445,,,1268.2115478515625,436
446,371.0,168.93187409587966,18514.68359375,436
447,388.0,180.07561466476838,12584.771484375,436
448,379.0,189.89612452912402,17399.40625,436
449,379.0,185.63180763659417,20773.125,436
450,14.0,141.10632182602575,9330.5126953125,436
451,117.0,205.29147221280644,8432.28515625,436
452,76.0,164.81004836379023,8395.443359375,436
453,123.0,201.49862184883187,8488.7412109375,436
454,84.0,155.8350056255811,11380.7958984375,436
455,86.0,106.53112222247923,3958.19091796875,436
456,100.0,77.41261715258169,5575.38525390625,436
457,75.0,95.46080088731851,4323.1083984375,436
458,19.0,112.01969503862733,11178.025390625,436
459,18.0,128.32971516848664,9295.134765625,436
460,17.0,136.97743046683496,12707.927734375,436
461,16.0,146.25259974388106,9853.3154296875,436
462,85.0,137.9936961357719,6023.13671875,436
463,13.0,106.83500962754843,7124.0712890625,436
464,87.0,71.79589006455396,4511.6728515625,436
465,209.0,159.15729771211895,14463.677734375,436
466,370.0,169.90451728884025,13372.201171875,436
467,81.0,57.58195827651677,6274.86962890625,436
468,10.0,185.20246805638257,7795.0302734375,436
469,94.0,180.7942156535565,5269.7373046875,436
470,26.0,129.09705894705502,11328.18359375,436
471,73.0,94.71967156449425,4826.6513671875,436
472,147.0,157.9675623058257,7519.4453125,436
473,12.0,134.91579436516216,7600.2373046875,436
474,90.0,129.9113849953783,6288.82568359375,436
475,213.0,160.2177937953452,11576.376953125,436
476,21.0,130.98181521429325,14550.173828125,436
477,16.0,139.99067118113734,15230.9560546875,436
478,371.0,172.16942461790072,15599.998046875,436
479,210.0,159.27157649537574,16909.22265625,436
480,220.0,201.21314341293154,8051.5458984375,436
481,139.0,173.4098319414905,4086.77685546875,436
482,153.0,170.21504676673118,6616.30078125,436
483,141.0,162.71773625547348,7754.0166015625,436
484,9.0,153.28541817420938,8130.0302734375,436
485,11.0,153.4816471587004,9545.587890625,436
486,98.0,139.0985530201101,6602.20703125,436
487,14.0,112.21727955513738,8308.8544921875,436
488,15.0,145.58040581716614,14889.26953125,436
489,13.0,150.61984149959451,15795.62890625,436
490,372.0,170.27085102253088,16781.33203125,436
491,13.0,158.58209096917392,18168.609375,436
492,241.0,204.68913176115694,8972.099609375,436
493,197.0,186.15842315168172,6003.4580078125,436
494,18.0,133.22250314595442,9509.283203125,436
495,159.0,163.42332226159184,9269.140625,436
496,164.0,152.36085096941818,7408.61865234375,436
497,9.0,145.7038687152163,8647.537109375,436
498,184.0,152.61254844108322,8293.2373046875,436
499,11.0,119.11171300697852,8093.9296875,436
500,358.0,158.4197045566818,14223.6806640625,436
501,14.0,144.57915007078697,16203.677734375,436
502,16.0,142.73130572977664,13543.646484375,436
503,212.0,154.97346874007067,15604.0302734375,436
504,11.0,214.93985976072395,9108.0654296875,436
505,218.0,200.94285202517577,7546.7685546875,436
506,22.0,150.58316686273292,12267.345703125,436
507,159.0,170.6582288580493,9733.0703125,436
508,178.0,164.45308228451648,8122.44921875,436
509,12.0,152.76758007807467,10459.25390625,436
510,90.0,160.27839444375607,8503.13671875,436
511,149.0,117.10271812343665,7617.3232421875,436
512,124.0,91.37953833094728,8001.95947265625,436
513,13.0,147.6484661052159,13821.6220703125,436
514,11.0,148.42330509637145,14319.669921875,436
515,12.0,147.95156655216203,16915.416015625,436
516,255.0,207.8124500077461,9411.248046875,436
517,185.0,186.81468521328276,5198.572265625,436
518,16.0,154.69830293327382,11281.080078125,436
519,5.0,182.55386322335013,13010.5224609375,436
520,177.0,163.60514580614793,8219.1015625,436
521,200.0,168.2309289039275,8673.66796875,436
522,186.0,173.51639556985324,10491.2734375,436
523,222.0,157.37805918984796,11947.5625,436
524,210.0,152.31295314462034,13028.8505859375,436
525,206.0,145.69298544049428,13766.6953125,436
526,342.0,163.84567793800295,15089.8427734375,436
527,15.0,141.14417716166002,14346.556640625,436
528,267.0,205.55528446935242,9665.884765625,436
529,203.0,187.33288546536303,7130.17822265625,436
530,13.0,158.39584280720547,10339.3623046875,436
531,172.0,166.74487190729596,11410.66015625,436
532,7.0,181.27052710043014,12923.0556640625,436
533,153.0,125.40535975905082,7640.24462890625,436
534,75.0,157.74408142459865,11805.5703125,436
535,28.0,119.23972323329757,15582.6923828125,436
536,227.0,153.46435591860975,13768.990234375,436
537,197.0,145.09098629833554,13842.4482421875,436
538,354.0,164.78210799151088,14254.9755859375,436
539,12.0,145.68523910066597,12968.982421875,436
540,193.0,183.05305299444288,6721.634765625,436
541,217.0,191.10659271611638,8239.90625,436
542,197.0,179.0119761887197,10166.3876953125,436
543,195.0,176.12348419124143,12297.802734375,436
544,189.0,166.47637105165998,10036.1181640625,436
545,213.0,167.75678525442524,9791.6728515625,436
546,16.0,113.49353286606677,8931.2158203125,436
547,16.0,110.52076536370565,8522.6240234375,436
548,213.0,151.5930728320187,12139.4228515625,436
549,218.0,148.83088701917822,14788.71484375,436
550,271.0,148.17247748557602,11715.0986328125,436
551,9.0,154.21522178973348,13548.75390625,436
552,193.0,171.31052697926975,5633.4462890625,436
553,156.0,146.1656709878754,5106.07421875,436
554,201.0,179.9862480972975,9899.0732421875,436
555,199.0,170.91447789056932,11775.275390625,436
556,156.0,121.48618386944692,8562.8525390625,436
557,212.0,164.124333468217,9635.9580078125,436
558,13.0,166.31045232776592,14243.6005859375,436
559,295.0,132.83603711017335,14439.60546875,436
560,193.0,152.24435703659555,12291.4453125,436
561,356.0,152.63563377906817,16508.876953125,436
562,337.0,163.53260395677947,15090.328125,436
563,174.0,153.8258333077738,14851.12109375,436
564,6.0,203.4179168811502,10294.248046875,436
565,158.0,147.59807814896868,5274.982421875,436
566,179.0,167.513748191548,9863.927734375,436
567,213.0,176.10633376906137,13402.310546875,436
568,201.0,175.80487170829934,10407.607421875,436
569,216.0,164.329816386995,10494.3232421875,436
570,32.0,107.14073245101335,13228.478515625,436
571,291.0,127.59846881569625,12070.693359375,436
572,15.0,136.84745991020506,11977.1982421875,436
573,252.0,148.54383244315514,15534.9775390625,436
574,259.0,140.23090228751104,10962.3681640625,436
575,10.0,152.03734594963734,12620.197265625,436
576,188.0,179.64946415970638,6897.1630859375,436
577,193.0,126.13786971399576,6443.2451171875,436
578,157.0,151.55278740136683,8934.0029296875,436
579,237.0,181.8618287644827,14464.3154296875,436
580,167.0,130.44114123192176,8559.3232421875,436
581,221.0,165.62355238533348,10264.140625,436
582,289.0,160.46619360916347,13287.82421875,436
583,18.0,104.2720718449965,8701.8857421875,436
584,14.0,135.4210105601424,11398.2744140625,436
585,180.0,129.2686872134572,12524.1845703125,436
586,263.0,143.10294042337543,10900.65234375,436
587,10.0,150.71473349189327,12858.615234375,436
588,379.0,215.54338950449957,9822.0400390625,436
589,383.0,202.57725318816708,11257.96484375,436
590,174.0,166.38730637504594,7538.8798828125,436
591,226.0,172.6963719793159,11016.189453125,436
592,192.0,145.34973981075552,7883.05029296875,436
593,22.0,137.66315564735052,12566.173828125,436
594,76.0,138.30136812156655,8907.3369140625,436
595,235.0,157.89154140441218,11635.38671875,436
