idx,path,status,n_red_boxes
276,0.4 BACK/NON-BSA/12 hrs/PXL_20260827_225313897.jpg,ok,5
277,0.4 BACK/NON-BSA/12 hrs/PXL_20260827_225324765.jpg,ok,7
278,0.4 BACK/NON-BSA/12 hrs/PXL_20260827_225346069.jpg,ok,8
279,0.4 BACK/NON-BSA/12 hrs/PXL_20260827_225416598.jpg,ok,5
280,0.4 BACK/NON-BSA/12 hrs/PXL_20260827_225427122.jpg,ok,7
281,0.4 BACK/NON-BSA/12 hrs/PXL_20260827_225447279.jpg,ok,6
282,0.4 BACK/NON-BSA/12 hrs/PXL_20260827_230529580.jpg,ok,7
283,0.4 BACK/NON-BSA/12 hrs/PXL_20260827_230543628.jpg,ok,10
284,0.4 BACK/NON-BSA/12 hrs/PXL_20260827_230557224.jpg,ok,9
285,0.4 BACK/NON-BSA/12 hrs/PXL_20260827_230637492.jpg,ok,8
286,0.4 BACK/NON-BSA/12 hrs/PXL_20260827_230648654.jpg,ok,9
287,0.4 BACK/NON-BSA/12 hrs/PXL_20260827_230701717.jpg,ok,9
288,0.4 BACK/NON-BSA/21.5 hrs/PXL_20260828_083225734.jpg,ok,8
289,0.4 BACK/NON-BSA/21.5 hrs/PXL_20260828_083248708.jpg,ok,7
290,0.4 BACK/NON-BSA/21.5 hrs/PXL_20260828_083315394.jpg,ok,8
291,0.4 BACK/NON-BSA/21.5 hrs/PXL_20260828_083405489.jpg,ok,4
292,0.4 BACK/NON-BSA/21.5 hrs/PXL_20260828_083427246.jpg,ok,8
293,0.4 BACK/NON-BSA/21.5 hrs/PXL_20260828_084042666.jpg,ok,3
294,0.4 BACK/NON-BSA/21.5 hrs/PXL_20260828_085143882.jpg,ok,9
295,0.4 BACK/NON-BSA/21.5 hrs/PXL_20260828_085155724.jpg,ok,8
296,0.4 BACK/NON-BSA/21.5 hrs/PXL_20260828_085215175.jpg,ok,8
297,0.4 BACK/NON-BSA/21.5 hrs/PXL_20260828_085359190.jpg,ok,10
298,0.4 BACK/NON-BSA/21.5 hrs/PXL_20260828_085412699.jpg,ok,9
299,0.4 BACK/NON-BSA/21.5 hrs/PXL_20260828_085425502.jpg,ok,9
300,0.6 BACK/BSA/0 hrs/PXL_20260827_111031212.jpg,ok,4
301,0.6 BACK/BSA/0 hrs/PXL_20260827_111058142.jpg,ok,6
302,0.6 BACK/BSA/0 hrs/PXL_20260827_111121594.jpg,ok,4
303,0.6 BACK/BSA/0 hrs/PXL_20260827_111142172.jpg,ok,7
304,0.6 BACK/BSA/0 hrs/PXL_20260827_111156348.jpg,ok,4
305,0.6 BACK/BSA/0 hrs/PXL_20260827_111210701.jpg,ok,4
306,0.6 BACK/BSA/0 hrs/PXL_20260827_111241592.jpg,ok,1
307,0.6 BACK/BSA/0 hrs/PXL_20260827_111254584.jpg,ok,4
308,0.6 BACK/BSA/0 hrs/PXL_20260827_111306861.jpg,ok,1
309,0.6 BACK/BSA/0 hrs/PXL_20260827_111320682.jpg,ok,4
310,0.6 BACK/BSA/0 hrs/PXL_20260827_111342603.jpg,ok,2
311,0.6 BACK/BSA/0 hrs/PXL_20260827_111358095.jpg,ok,4
312,0.6 BACK/BSA/0 hrs/PXL_20260827_112101846.jpg,ok,4
313,0.6 BACK/BSA/0 hrs/PXL_20260827_112111841.jpg,ok,5
314,0.6 BACK/BSA/0 hrs/PXL_20260827_112124500.jpg,ok,5
315,0.6 BACK/BSA/0 hrs/PXL_20260827_112155633.jpg,ok,3
316,0.6 BACK/BSA/0 hrs/PXL_20260827_112210476.jpg,ok,2
317,0.6 BACK/BSA/0 hrs/PXL_20260827_112223299.jpg,ok,4
318,0.6 BACK/BSA/1 hr/PXL_20260827_120802004.jpg,ok,6
319,0.6 BACK/BSA/1 hr/PXL_20260827_120820176.jpg,ok,9
320,0.6 BACK/BSA/1 hr/PXL_20260827_120843277.jpg,ok,4
321,0.6 BACK/BSA/1 hr/PXL_20260827_120913895.jpg,ok,5
322,0.6 BACK/BSA/1 hr/PXL_20260827_120937739.jpg,ok,5
323,0.6 BACK/BSA/1 hr/PXL_20260827_121010071.jpg,ok,3
324,0.6 BACK/BSA/1 hr/PXL_20260827_123120096.jpg,ok,5
