series,cond,coating,bsa,control,t,asym
PEG_non-BSA_r2,PEG_non-BSA,PEG,non-BSA,False,1.0,-0.6790552139282227
PEG_non-BSA_r3,PEG_non-BSA,PEG,non-BSA,False,1.0,-2.0626916885375977
COOH_non-BSA_r1,COOH_non-BSA,COOH,non-BSA,False,1.0,1.251373291015625
COOH_non-BSA_r3,COOH_non-BSA,COOH,non-BSA,False,1.0,4.71055793762207
COOH_non-BSA_r2,COOH_non-BSA,COOH,non-BSA,False,1.0,7.387713432312012
PEG_BSA_control,PEG_BSA,PEG,BSA,True,1.0,8.128458023071289
COOH_BSA_control,COOH_BSA,COOH,BSA,True,1.0,11.225172996520996
PEG_non-BSA_control,PEG_non-BSA,PEG,non-BSA,True,1.0,-5.311957359313965
COOH_non-BSA_control,COOH_non-BSA,COOH,non-BSA,True,1.0,-20.968517303466797
PEG_BSA_r1,PEG_BSA,PEG,BSA,False,1.5,26.699077606201172
PEG_BSA_r2,PEG_BSA,PEG,BSA,False,1.5,23.551652908325195
PEG_BSA_r3,PEG_BSA,PEG,BSA,False,1.5,15.473311424255371
COOH_BSA_r2,COOH_BSA,COOH,BSA,False,1.5,20.602155685424805
COOH_BSA_r1,COOH_BSA,COOH,BSA,False,1.5,13.917829513549805
COOH_BSA_r3,COOH_BSA,COOH,BSA,False,1.5,21.406021118164062
PEG_non-BSA_r1,PEG_non-BSA,PEG,non-BSA,False,1.5,4.066107273101807
PEG_non-BSA_r2,PEG_non-BSA,PEG,non-BSA,False,1.5,1.0202760696411133
PEG_non-BSA_r3,PEG_non-BSA,PEG,non-BSA,False,1.5,0.5457677841186523
COOH_non-BSA_r1,COOH_non-BSA,COOH,non-BSA,False,1.5,2.6168556213378906
COOH_non-BSA_r2,COOH_non-BSA,COOH,non-BSA,False,1.5,12.863545417785645
COOH_non-BSA_r3,COOH_non-BSA,COOH,non-BSA,False,1.5,11.719866752624512
PEG_BSA_control,PEG_BSA,PEG,BSA,True,1.5,10.322710037231445
COOH_BSA_control,COOH_BSA,COOH,BSA,True,1.5,12.416329383850098
